frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,udp.srcport,udp.dstport,icmp.type
"13.909913000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909914000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909914000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909915000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909916000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909916000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909917000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909917000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909917000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909918000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909918000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909919000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909919000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909920000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909920000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909920000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909921000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909921000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909922000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909922000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909923000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909923000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909924000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909924000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909925000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909925000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909926000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.909926000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
"13.912697000","40","00:00:40:06:66:cc","45:00:00:28:00:01",,,,,,,,,,,,,
