time_window_start,total_packets,total_bytes,packets_per_second,bytes_per_second,avg_packet_size,std_packet_size,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,fin_count,rst_count,syn_ack_ratio,unique_dst_ports,port_diversity,unique_src_ips,unique_dst_ips,unique_connections
38.0,847,1251950,847.0,1251950.0,1478.099173553719,1381.859469334657,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
39.0,918,1253740,918.0,1253740.0,1365.7298474945533,1165.7731854690926,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
40.0,878,1255460,878.0,1255460.0,1429.9088838268792,1304.709711271038,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
41.0,830,1249089,830.0,1249089.0,1504.9265060240964,1431.9629110662474,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
42.0,826,1250564,826.0,1250564.0,1514.0,1433.00355557934,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
43.0,830,1249380,830.0,1249380.0,1505.2771084337348,1432.1669875314758,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
44.0,826,1250564,826.0,1250564.0,1514.0,1433.00355557934,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
45.0,826,1247684,826.0,1247684.0,1510.5133171912832,1432.9797657026936,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
46.0,828,1252152,828.0,1252152.0,1512.2608695652175,1432.1443353946104,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
47.0,829,1249015,829.0,1249015.0,1506.652593486128,1431.9631207412262,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
48.0,827,1249182,827.0,1249182.0,1510.4981862152358,1432.1315708606476,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
49.0,827,1247734,827.0,1247734.0,1508.7472793228537,1433.0121673908736,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
50.0,826,1250564,826.0,1250564.0,1514.0,1433.00355557934,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
51.0,829,1252226,829.0,1252226.0,1510.5259348612788,1432.1506861335347,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
52.0,823,1244582,823.0,1244582.0,1512.2503037667072,1432.9376595995268,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
53.0,649,981138,649.0,981138.0,1511.768875192604,1433.3999819405894,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
