feature,importance
bytes_per_second,0.1641990433133095
port_diversity,0.1498546338653521
total_bytes,0.13099360758297943
avg_packet_size,0.1295396159384713
std_packet_size,0.09696565797404114
total_packets,0.0875657776802542
packets_per_second,0.07702183752817443
ack_count,0.05885021479904998
syn_ack_ratio,0.046743795091235274
unique_dst_ports,0.03159819081342555
syn_count,0.011927944299801494
fin_count,0.009680188092289656
unique_src_ips,0.0026678936155409686
unique_connections,0.0013746502535326342
unique_dst_ips,0.001016949152542372
udp_ratio,0.0
icmp_ratio,0.0
tcp_ratio,0.0
rst_count,0.0
