time_window_start,total_packets,total_bytes,packets_per_second,bytes_per_second,avg_packet_size,std_packet_size,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,fin_count,rst_count,syn_ack_ratio,unique_dst_ports,port_diversity,unique_src_ips,unique_dst_ips,unique_connections
33.0,825,1247602,825.0,1247602.0,1512.2448484848485,1432.984184485709,1.0,0.0,0.0,0,825,0,0,0.0,3,0.6384599277654085,2,2,2
34.0,831,1252342,831.0,1252342.0,1507.0300842358604,1432.1957521888635,1.0,0.0,0.0,0,831,1,0,0.0,4,0.5213489116744748,2,2,2
35.0,822,1247404,822.0,1247404.0,1517.5231143552312,1432.9257707173476,1.0,0.0,0.0,0,822,0,0,0.0,2,0.9995729250970663,2,2,2
36.0,826,1250564,826.0,1250564.0,1514.0,1433.00355557934,1.0,0.0,0.0,0,826,0,0,0.0,2,0.9996574182663092,2,2,2
37.0,828,1252160,828.0,1252160.0,1512.270531400966,1432.134593477268,1.0,0.0,0.0,2,827,0,0,0.0024183796856106408,4,0.5120286962349704,2,2,2
38.0,826,1247676,826.0,1247676.0,1510.503631961259,1432.9895135859854,1.0,0.0,0.0,1,826,0,0,0.0012106537530266344,3,0.6384757886813534,2,2,2
39.0,872,1252287,872.0,1252287.0,1436.1089449541284,1303.928517305938,1.0,0.0,0.0,0,872,0,0,0.0,3,0.6358772776470618,2,2,2
40.0,918,1258047,918.0,1258047.0,1370.421568627451,1163.229718605694,1.0,0.0,0.0,0,918,1,0,0.0,4,0.4972273487649765,2,2,2
41.0,846,1251884,846.0,1251884.0,1479.7683215130023,1383.616793149471,1.0,0.0,0.0,0,846,1,0,0.0,4,0.5195130241183674,2,2,2
42.0,826,1249116,826.0,1249116.0,1512.2469733656174,1432.115447190532,1.0,0.0,0.0,0,826,0,0,0.0,2,0.9996574182663092,2,2,2
43.0,826,1250564,826.0,1250564.0,1514.0,1433.00355557934,1.0,0.0,0.0,0,826,0,0,0.0,2,0.9996574182663092,2,2,2
44.0,826,1247684,826.0,1247684.0,1510.5133171912832,1432.9797657026936,1.0,0.0,0.0,2,825,0,0,0.0024242424242424242,4,0.5120933597506487,2,2,2
45.0,828,1252152,828.0,1252152.0,1512.2608695652175,1432.1443353946104,1.0,0.0,0.0,1,828,0,0,0.0012077294685990338,3,0.6384128254671935,2,2,2
46.0,825,1250498,825.0,1250498.0,1515.7551515151515,1432.984184485709,1.0,0.0,0.0,0,825,0,0,0.0,2,0.9996173668674234,2,2,2
47.0,830,1249478,830.0,1249478.0,1505.3951807228916,1431.842681607939,1.0,0.0,0.0,0,830,1,0,0.0,4,0.5263065937654471,2,2,2
48.0,826,1249116,826.0,1249116.0,1512.2469733656174,1432.115447190532,1.0,0.0,0.0,0,826,0,0,0.0,3,0.6384276944274017,2,2,2
49.0,792,1194744,792.0,1194744.0,1508.5151515151515,1433.269923055847,1.0,0.0,0.0,0,792,1,0,0.0,4,0.5222361748408455,2,2,2
50.0,825,1247602,825.0,1247602.0,1512.2448484848485,1432.984184485709,1.0,0.0,0.0,0,825,0,0,0.0,2,0.9996936868535145,2,2,2
51.0,827,1252078,827.0,1252078.0,1514.0,1432.1358573129341,1.0,0.0,0.0,0,827,0,0,0.0,2,0.9996192154952341,2,2,2
52.0,826,1247684,826.0,1247684.0,1510.5133171912832,1432.9797657026936,1.0,0.0,0.0,2,825,0,0,0.0024242424242424242,4,0.5120933597506487,2,2,2
53.0,821,1241554,821.0,1241554.0,1512.2460414129112,1432.9007260132541,1.0,0.0,0.0,1,821,0,0,0.001218026796589525,3,0.6384901602059254,2,2,2
54.0,831,1250992,831.0,1250992.0,1505.4055354993984,1430.9798969458996,1.0,0.0,0.0,0,831,1,0,0.0,4,0.526261969577788,2,2,2
55.0,826,1250564,826.0,1250564.0,1514.0,1433.00355557934,1.0,0.0,0.0,0,826,0,0,0.0,3,0.6384276944274017,2,2,2
56.0,914,1256372,914.0,1256372.0,1374.586433260394,1208.0928012814104,1.0,0.0,0.0,0,914,1,0,0.0,4,0.5047753522467034,2,2,2
57.0,904,1254264,904.0,1254264.0,1387.4601769911505,1215.3072831314332,1.0,0.0,0.0,0,904,0,0,0.0,2,0.970561020440767,2,2,2
58.0,826,1250564,826.0,1250564.0,1514.0,1433.00355557934,1.0,0.0,0.0,0,826,0,0,0.0,2,0.9996574182663092,2,2,2
59.0,827,1247750,827.0,1247750.0,1508.7666263603385,1432.9927191448462,1.0,0.0,0.0,2,826,0,0,0.002421307506053269,4,0.5120995627174866,2,2,2
60.0,827,1249190,827.0,1249190.0,1510.5078597339782,1432.121828982971,1.0,0.0,0.0,1,827,0,0,0.0012091898428053204,3,0.6384449076495461,2,2,2
61.0,830,1252374,830.0,1252374.0,1508.8843373493976,1431.859418913893,1.0,0.0,0.0,0,830,1,0,0.0,4,0.5262686636518777,2,2,2
62.0,827,1250630,827.0,1250630.0,1512.249093107618,1433.0207350145433,1.0,0.0,0.0,0,827,0,0,0.0,3,0.6384449076495461,2,2,2
63.0,829,1249314,829.0,1249314.0,1507.0132689987938,1432.1573254695818,1.0,0.0,0.0,0,829,1,0,0.0,4,0.5213915491786568,2,2,2
64.0,826,1250564,826.0,1250564.0,1514.0,1433.00355557934,1.0,0.0,0.0,0,826,0,0,0.0,2,0.9996574182663092,2,2,2
65.0,824,1247536,824.0,1247536.0,1514.0,1432.9669210560396,1.0,0.0,0.0,0,824,0,0,0.0,2,0.9996557530988982,2,2,2
66.0,829,1252226,829.0,1252226.0,1510.5259348612788,1432.1506861335347,1.0,0.0,0.0,2,828,0,0,0.0024154589371980675,4,0.5120370653016378,2,2,2
67.0,825,1247610,825.0,1247610.0,1512.2545454545455,1432.9744129389358,1.0,0.0,0.0,1,825,0,0,0.0012121212121212121,3,0.6384599277654085,2,2,2
68.0,824,1243290,824.0,1243290.0,1508.8470873786407,1431.7410123791824,1.0,0.0,0.0,0,824,1,0,0.0,4,0.5264266837326322,2,2,2
69.0,827,1249182,827.0,1249182.0,1510.4981862152358,1432.1315708606476,1.0,0.0,0.0,0,827,0,0,0.0,3,0.6384449076495461,2,2,2
